,Registration_date,Longitude,Latitude,Annual_underground_extraction_m3,Entitlement,Permited_use,Municipality_name,Year
108,1997-07-01,-99.21175000000001,19.451472222222222,4444.0,"ASOCIACION FRANCO MEXICANA SUIZA Y BELGA DE BENEFICENCIA, I. A. P./NUEVO PANTEON FRANCES",SERVICIOS,MIGUEL HIDALGO,1997
109,1994-11-22,-99.17200000000001,19.439944444444446,163248.0,"LAVANDERÍA LA EUROPEA, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1994
110,1994-11-22,-99.17266666666667,19.439555555555557,163248.0,"LAVANDERÍA LA EUROPEA, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1994
111,2004-06-22,-99.15861111111111,19.47972222222222,187000.0,"CERVEZAS CUAUHTÉMOC MOCTEZUMA, S. A. DE C. V.",INDUSTRIAL,AZCAPOTZALCO,2004
112,2004-06-22,-99.15916666666668,19.480833333333333,187000.0,"CERVEZAS CUAUHTÉMOC MOCTEZUMA, S. A. DE C. V.",INDUSTRIAL,AZCAPOTZALCO,2004
113,1996-05-06,-99.12638888888888,19.26722222222222,320207.0,"ROVILAN, S.A. DE C.V.",INDUSTRIAL,XOCHIMILCO,1996
114,1996-08-14,-99.43916666666667,19.433333333333334,66451.0,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,VENUSTIANO CARRANZA,1996
115,1996-08-14,-99.10555555555555,19.433333333333334,66451.0,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,VENUSTIANO CARRANZA,1996
116,1994-12-05,-99.16,19.492,241.0,"PHILIPS MEXICANA, S.A. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1994
117,1995-12-28,-99.1546388888889,19.46077777777778,14800.0,"PINTURAS OPTIMUS, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1995
118,1996-07-22,-99.14527777777778,19.438333333333333,6800.0,"MARIA ELENA DOMINGUEZ BRIONES, MARIA TERESA DOMINGUEZ BRIONES, ANA MARIA DOMINGUEZ BRIONES Y ARMANDO ALEJANDRO DOMINGUEZ BRIONES",INDUSTRIAL,CUAUHTÉMOC,1996
119,1996-09-05,-99.1146111111111,19.467388888888888,183.0,"CROWN ENVASES MÉXICO, S.A. DE C.V.",INDUSTRIAL,GUSTAVO A. MADERO,1996
120,1996-09-19,-99.1641388888889,19.424805555555558,22488.0,"HOTEL GENEVE, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1996
121,1996-09-19,-99.16405555555556,19.424583333333334,22488.0,"HOTEL GENEVE, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1996
122,2001-12-06,-99.17472222222223,19.461111111111112,36288.0,"GARCÍA BÁRCENA Y COMPAÑÍA, S.C.",INDUSTRIAL,AZCAPOTZALCO,2001
123,1995-12-06,-99.19583333333334,19.402777777777775,236520.0,"CENTRO ASTURIANO DE MÉXICO, A.C.",SERVICIOS,COYOACÁN,1995
124,1995-09-07,-99.17527777777778,19.460555555555555,311040.0,"PRAXAIR MÉXICO, S. DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1995
125,1997-07-15,-99.10277777777777,19.47138888888889,2334.0,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,SERVICIOS,GUSTAVO A. MADERO,1997
126,1996-08-14,-99.18027777777779,19.4375,23192.0,"ASOCIACIÓN CRISTIANA DE JOVENES DE LA CIUDAD DE MÉXICO (YMCA), A.C.",SERVICIOS,MIGUEL HIDALGO,1996
127,2009-02-04,-99.11222222222221,19.29888888888889,7978.4,"VITRIUM DIVISION FARMACEUTICA, S.A. DE C.V.",INDUSTRIAL,TLALPAN,2009
128,1996-09-19,-99.14250000000001,19.350833333333334,240.0,FRANCISCO GRANILLO ORDOÑEZ,SERVICIOS,COYOACÁN,1996
129,2008-09-12,-99.11361111111111,19.25111111111111,148760.0,"BOEHRINGER INGELHEIM PROMECO, S.A. DE C.V.",INDUSTRIAL,XOCHIMILCO,2008
130,1996-05-16,-99.14055555555557,19.311111111111114,151180.0,"ABBOTT LABORATORIES DE MÉXICO, S. A. DE C. V.",INDUSTRIAL,COYOACÁN,1996
131,2005-10-14,-99.18583333333333,19.440277777777776,67000.0,"ALTERNATIVA HABITACIONAL METROPOLITANA, S. DE R.L. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,2005
132,1996-05-17,-99.18805555555556,19.442777777777778,8094038.0,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1996
133,1996-05-17,-99.18722222222223,19.443333333333335,8094038.0,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1996
134,1996-05-17,-99.18805555555556,19.44361111111111,8094038.0,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1996
135,1996-05-17,-99.18972222222223,19.441111111111113,8094038.0,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1996
136,1996-05-17,-99.18805555555556,19.440277777777776,8094038.0,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1996
137,1996-05-17,-99.1863888888889,19.44,8094038.0,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1996
138,1996-05-17,-99.18908333333334,19.44238888888889,8094038.0,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1996
139,1996-10-14,-99.18336111111111,19.443083333333334,17043.0,"BRIDGESTONE DE MEXICO, S. A. DE C. V.",INDUSTRIAL,MIGUEL HIDALGO,1996
140,1996-07-04,-99.15191666666668,19.45647222222222,19023.0,"CERILLOS Y FOSFOROS LA IMPERIAL, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1996
141,1996-07-04,-99.10191666666667,19.456666666666667,19023.0,"CERILLOS Y FOSFOROS LA IMPERIAL, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1996
142,1995-07-28,-99.1613888888889,19.499444444444446,218832.0,"EXTRACTOS Y MALTAS, S. A. DE C. V.",INDUSTRIAL,AZCAPOTZALCO,1995
143,1995-07-28,-99.16250000000001,19.500555555555554,218832.0,"EXTRACTOS Y MALTAS, S. A. DE C. V.",INDUSTRIAL,AZCAPOTZALCO,1995
144,1995-07-11,-99.13900000000001,19.424916666666668,10111.0,"BAÑOS BOLIVAR DE MEXICO, S. A. DE C. V.",INDUSTRIAL,CUAUHTÉMOC,1995
145,1995-07-11,-99.13902777777778,19.424944444444446,10111.0,"BAÑOS BOLIVAR DE MEXICO, S. A. DE C. V.",INDUSTRIAL,CUAUHTÉMOC,1995
146,1999-07-26,-99.20833333333334,19.35,1071.0,"PANTEON JARDIN DE MEXICO, S.A.",SERVICIOS,ÁLVARO OBREGÓN,1999
147,1995-03-05,-99.19722222222222,19.425,200000.0,"COMPAÑÍA INDUSTRIAL DE XALOSTOC, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1995
148,1999-08-02,-99.16611111111112,19.503888888888888,24450.0,"PROCTER & GAMBLE MANUFACTURA, S. DE R. L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1999
149,2001-11-06,-99.06694444444445,19.150277777777777,78000.0,"BRISTOL MYERS SQUIBB DE MÉXICO, S. DE R. L. DE C. V.",INDUSTRIAL,ÁLVARO OBREGÓN,2001
150,1994-11-11,-99.14127777777779,19.456083333333332,20000.0,"LEVADURA AZTECA, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1994
151,1994-11-11,-99.14161111111112,19.455305555555555,20000.0,"LEVADURA AZTECA, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1994
152,1999-08-30,-99.09722222222221,19.49277777777778,32510.0,INSTITUTO MEXICANO DEL SEGURO SOCIAL UNIDAD MORELOS,SERVICIOS,GUSTAVO A. MADERO,1999
153,1996-07-04,-99.15202777777779,19.494194444444446,68.0,"FAUSTO SUAREZ, S.A. DE C.V.",INDUSTRIAL,GUSTAVO A. MADERO,1996
154,1999-08-30,-99.16361111111112,19.501944444444444,98761.0,"INDUSTRIAS ROJAS Y ASOCIADOS, S. A. DE C. V.",INDUSTRIAL,AZCAPOTZALCO,1999
155,1997-06-17,-99.12705555555554,19.41483333333333,10812.0,"IAMSE, S.A.",INDUSTRIAL,VENUSTIANO CARRANZA,1997
156,1997-06-17,-99.12702777777777,19.41408333333333,10812.0,"IAMSE, S.A.",INDUSTRIAL,VENUSTIANO CARRANZA,1997
157,1999-11-03,-99.20055555555555,19.439722222222223,3000.0,"BAYER DE MEXICO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1999
158,1997-07-15,-99.15944444444445,19.408055555555553,65167.0,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,SERVICIOS,CUAUHTÉMOC,1997
159,2011-09-30,-99.15030555555556,19.450666666666667,40000.0,LUZ Y FUERZA DEL CENTRO,GENERACIÓN  DE ENERGÍA ELÉCTRICA,CUAUHTÉMOC,2011
160,2011-10-31,-99.1703888888889,19.437166666666666,33600.0,LUZ Y FUERZA DEL CENTRO,GENERACIÓN  DE ENERGÍA ELÉCTRICA,MIGUEL HIDALGO,2011
161,1996-04-23,-99.13388888888889,19.36777777777778,91208.0,SERVICIO DE TRANSPORTES ELECTRICOS DEL DISTRITO FEDERAL,INDUSTRIAL,IZTAPALAPA,1996
162,1996-05-16,-99.07527777777777,19.331944444444446,39799.0,"INDUSTRIAS J. L. C., S. A. DE C. V.",INDUSTRIAL,MILPA ALTA,1996
